gene_id	WT_0H_DBI_7	WT_0H_DBI_8	WT_0H_DBI_9	WT_24H_DBI_10	WT_24H_DBI_11	WT_24H_DBI_12	WT_48H_DBI_13	WT_48H_DBI_14	WT_48H_DBI_15	WT_0H_DNA2_22	WT_0H_DNA2_23	WT_0H_DNA2_24	WT_120H_DNA2_25	WT_120H_DNA2_26	WT_120H_DNA2_27	WT_0H_DNA1_28	WT_0H_DNA1_29	WT_0H_DNA1_30	WT_6H_DNA1_31	WT_6H_DNA1_32	WT_6H_DNA1_33	WT_24H_DNA1_34	WT_24H_DNA1_35	WT_24H_DNA1_36
ENSMUSG00000046223	-0.981505175337328	-1.52448743843372	-1.70914581792125	5.74032294929814	6.68351014674476	5.51716143785783	6.05388714255855	4.82643343864012	5.61617746169442	-1.91843308684593	-2.89739239114692	-2.89739239114692	4.43146547782753	5.18646093146051	3.99786155273855	-0.293590960128075	-2.89739239114692	0.106451216329964	2.25562436041408	4.17168434518362	5.16014147675122	5.9286513544098	6.9939877374555	5.05943412311342
ENSMUSG00000023805	2.60644377454843	2.57696858242334	1.79947755105101	3.89975307819225	4.3088824254004	4.19797066770822	4.15869399924063	4.11709871011461	4.25673968066381	0.969970674299015	1.66612542951457	2.60450876236148	5.74799931861927	6.05813380829146	5.64020759150279	1.98621705771224	2.97230873317712	2.16335487840732	3.5332095709827	3.27792031511218	2.59321460669749	4.29153446483428	4.06892355049107	3.9575405985726
ENSMUSG00000032776	0.234474015734136	0.63859033263404	-0.285034053787858	3.33438146971516	3.89160953874141	3.69387308880063	3.3840701210513	2.70918863269664	2.90844151293984	-0.929069638805625	-2.04237389011337	-0.261992816747908	4.08417913495983	3.76785431214896	4.45398397277143	1.61850784860157	0.328136740991424	0.52912246535514	4.08223773440237	3.22052746232004	3.72924468500361	3.28862623562995	3.19027863579264	3.53888845948227
ENSMUSG00000025473	0.0392548178715062	1.18148669751006	1.13339163387149	4.15767450471067	4.81721721611412	4.4451783359315	6.0328464466642	5.19525588913667	4.61583026514012	0.0655825324120687	0.903819170825863	0.821217716357282	3.97911521485941	4.08471589809882	2.92396948462791	-0.722303552209001	0.328136740991424	0.420449208614152	1.3867297532859	1.12947598283955	-0.79403368287177	4.28190772522614	5.00042430381305	4.0257819245589
ENSMUSG00000021360	2.51545246137372	2.62766173073285	2.2272268573084	5.65923281002983	5.28178425302399	5.90812848330419	6.52455168170081	5.70797115793468	5.62687462640846	2.48747972109396	0.52287216982376	0.821217716357282	5.11611365659293	5.19059729501561	4.89344191354062	2.92219425087663	2.67083076313048	3.52948038048177	5.93710793403466	6.26542271321809	7.21096913146216	5.06314411496184	4.98716603433585	5.51054926672165
ENSMUSG00000018927	1.19735515253021	1.18148669751006	1.64970161101691	3.26755948011754	4.84019180538015	5.52195635561888	7.66403877177988	6.95865381808527	6.44680686847002	1.06290116578891	1.80705026734954	-0.479321285125843	4.81402758501708	5.68275439551984	3.16786291626618	0.531157879001708	-0.0198891105466799	-0.391274254457786	-1.13829398780638	-0.25712441067002	-0.325562885269906	4.89019310428067	4.41848321523728	5.24836410796946
ENSMUSG00000024990	-0.783642025983193	-1.52448743843372	-1.35234611957576	3.84580415732745	5.0713600721068	4.76532758537448	0.777751807265278	2.56551616705152	2.32934747040483	-2.89739239114692	-2.89739239114692	-1.99519379412258	0.406553803151105	-1.5423523117305	-2.89739239114692	-2.42160009137321	-0.894757096005654	-0.998014932512775	0.981624716650201	2.04728991956263	3.08206419613063	3.81896031208887	3.96068237728248	3.78975426928662
ENSMUSG00000018924	-0.783642025983193	-1.02955168351447	-0.623498030686202	4.08967081336919	4.34681042478356	5.96381289842853	4.99752698546936	5.45514595958692	6.12482997287313	-1.91843308684593	-2.89739239114692	-2.89739239114692	4.5277441956852	3.1565394296088	3.86576743145331	-2.42160009137321	-2.89739239114692	-0.998014932512775	-2.2227362176227	-0.25712441067002	0.310924373721212	4.29472915591669	4.75880195468065	2.30754479279065
ENSMUSG00000021678	3.43031111603096	3.86527896098907	4.15476139998583	4.58836615417657	5.43048872847954	5.45333241034603	5.80538699245628	4.90812713011827	6.37374894706686	0.52355220526553	1.06219928092035	0.0937975564853561	4.68634366640617	5.72329166565562	4.15704988968631	2.86103651404931	2.65036560164714	2.41066919480033	2.9214611636491	2.7956523024894	2.95060399615307	4.71049119162306	4.93287986571094	4.48923705986607
ENSMUSG00000000489	0.69880714602024	0.0825658457290935	-0.141564165110222	4.47447143517467	5.44804365737408	4.49967087782445	3.87097879774287	4.48861364896251	5.57257754418781	-2.89739239114692	0.286541790616567	-0.261992816747908	6.34503512023906	6.72573984652654	5.87880198818722	0.85768915095756	0.913224568402867	0.52912246535514	1.77191045887499	2.44102793433588	0.394245022274858	5.01165411527879	4.65003514699674	3.59387231749483
